CzeV;ID (UCAC4);VSX ID;RA [h m s];DE [ø ' ''];Const;Type;V [mag];J [mag];J-K [mag];Amp [mag];Passband;M0 [JD];P [d];Discoverer;Year;Online information
1;UCAC4 537-046686;FF Cnc;08 29 39.312;+17 17 00.58;Cnc;EA;10.77;9.384;0.531;0.57;C;2452500.939;1.469331;PeP;1993;http://var2.astro.cz/czev.php?id=1
2;UCAC4 797-019460;ES UMa;09 54 28.620;+69 13 22.28;UMa;EW;11;10.194;0.251;0.39;V;2454829.6982;0.528847;KaH, JK;1993;http://var2.astro.cz/czev.php?id=2
3;UCAC4 655-102227;;21 36 09.916;+40 52 39.07;Cyg;;10.7;7.978;0.936;;;;;MZ;1998;http://var2.astro.cz/czev.php?id=3
4;UCAC4 638-091827;V2240 Cyg;20 15 55.943;+37 27 15.53;Cyg;EW;11.94;11.185;0.236;;;2456518.9723;0.404161;JS;1999;http://var2.astro.cz/czev.php?id=4
5;UCAC4 638-091516;V2239 Cyg;20 15 17.569;+37 31 43.92;Cyg;EA;11.95;10.845;0.318;;;2451427.4063;0.610595;JS;1999;http://var2.astro.cz/czev.php?id=5
6;UCAC4 450-086568;;18 55 45.481;-00 00 44.33;Aql;;11.97;9.698;0.387;;;;;MZ;1999;http://var2.astro.cz/czev.php?id=6
7;UCAC4 629-008536;V0680 Per;02 41 41.016;+35 42 54.87;Per;EW;13.58;12.591;0.293;0.58;C;2452996.6731;0.373973;MZ;2000;http://var2.astro.cz/czev.php?id=7
8;UCAC4 504-106930;;19 31 30.415;+10 47 08.69;Aql;;12.32;11.278;0.356;;;;;MZ;2000;http://var2.astro.cz/czev.php?id=8
9;UCAC4 511-104980;;19 35 42.319;+12 04 32.49;Aql;;16.18;7.513;1.503;;;;;MZ;2000;http://var2.astro.cz/czev.php?id=9
10;UCAC4 545-132078;;20 41 29.487;+18 54 41.56;Del;;;13.257;0.746;;;;;MZ;2000;http://var2.astro.cz/czev.php?id=10
11;UCAC4 652-014187;;03 21 40.199;+40 18 29.19;Per;;15.8;14.449;0.472;;;;;MZ;2000;http://var2.astro.cz/czev.php?id=11
12;UCAC4 646-088726;V2422 Cyg;20 16 58.829;+39 05 23.88;Cyg;EB;13.26;12.05;0.29;0.55;V;2452122.459;0.506166;KK,PH,DM ;2000;http://var2.astro.cz/czev.php?id=12
13;UCAC4 607-106328;V2546 Cyg;20 28 04.912;+31 17 09.72;Cyg;EW;10.96;10.637;0.172;0.56;R;2451358.748;0.62279;MZ;2003;http://var2.astro.cz/czev.php?id=13
14;UCAC4 726-104478;V1188 Cas;23 29 42.222;+55 03 47.15;Cas;EW;15.21;14.047;0.327;0.5;V;2452859.3088;0.662505;KK, PH, DM;2003;http://var2.astro.cz/czev.php?id=14
15;UCAC4 661-000894;V0469 And;00 11 22.047;+42 05 39.04;And;EW;;14.162;0.481;0.8;R;2452859.5092;0.328177;KK, PH, DM;2003;http://var2.astro.cz/czev.php?id=15
16;UCAC4 712-113372;V1186 Cas;23 27 02.360;+52 14 47.51;Cas;EW:;13.11;12.113;0.203;0.3;V;2452857.4245;0.6152;KK, PH, DM;2003;http://var2.astro.cz/czev.php?id=16
